,nr_tunnused,mse,oob
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SPS')",5,-0.211,0.598
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SPS')",5,-0.212,0.598
"('TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",5,-0.213,0.598
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState1', 'SlogP_VSA8')",5,-0.22,0.598
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SPS')",6,-0.204,0.597
"('HallKierAlpha', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",5,-0.205,0.597
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",5,-0.207,0.597
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SPS')",5,-0.209,0.597
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState1', 'SPS')",5,-0.223,0.597
"('AvgIpc', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",4,-0.224,0.597
"('TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",5,-0.203,0.596
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'SPS')",5,-0.208,0.596
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SlogP_VSA8')",5,-0.21,0.596
"('VSA_EState2', 'AvgIpc', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",5,-0.214,0.596
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SlogP_VSA8')",4,-0.218,0.596
"('AvgIpc', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",4,-0.219,0.596
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",6,-0.227,0.596
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SPS')",4,-0.207,0.595
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SPS')",6,-0.209,0.595
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.214,0.595
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SPS')",5,-0.215,0.595
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SPS')",5,-0.218,0.595
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState1', 'SMR_VSA3', 'SPS')",6,-0.22,0.595
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SMR_VSA3', 'SPS')",6,-0.225,0.595
"('AvgIpc', 'VSA_EState4', 'VSA_EState1', 'SMR_VSA3', 'SPS')",5,-0.238,0.595
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3')",6,-0.205,0.594
"('HallKierAlpha', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",6,-0.209,0.594
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",5,-0.218,0.594
"('VSA_EState2', 'TPSA', 'VSA_EState1', 'SMR_VSA3', 'SPS')",5,-0.219,0.594
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SPS')",6,-0.221,0.594
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",5,-0.227,0.594
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8')",3,-0.208,0.593
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'SPS')",4,-0.209,0.593
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",7,-0.215,0.593
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SMR_VSA3')",7,-0.229,0.593
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",6,-0.206,0.592
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1')",5,-0.221,0.592
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",6,-0.23,0.592
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.209,0.591
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.21,0.591
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SPS')",5,-0.215,0.591
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3')",4,-0.217,0.591
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState1', 'SMR_VSA3', 'SPS')",6,-0.224,0.591
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SPS')",5,-0.202,0.59
"('HallKierAlpha', 'AvgIpc', 'SlogP_VSA8', 'SMR_VSA3')",4,-0.212,0.59
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",6,-0.215,0.59
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SMR_VSA3')",6,-0.22,0.59
"('AvgIpc', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.221,0.59
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",6,-0.227,0.59
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8')",4,-0.197,0.589
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",4,-0.21,0.589
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",6,-0.211,0.589
"('VSA_EState2', 'AvgIpc', 'VSA_EState1', 'SlogP_VSA8')",4,-0.213,0.589
"('TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",6,-0.214,0.589
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'VSA_EState1', 'SPS')",5,-0.229,0.589
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'VSA_EState1', 'SMR_VSA3')",5,-0.233,0.589
"('TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",5,-0.204,0.588
