,nr_tunnused,mse,oob
"('SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",4,-0.233,0.604
"('VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.249,0.604
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BCUT2D_LOGPHI')",4,-0.198,0.603
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'BCUT2D_LOGPHI')",4,-0.203,0.603
"('TPSA', 'VSA_EState4', 'BertzCT', 'AvgIpc')",4,-0.207,0.603
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",5,-0.207,0.603
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",6,-0.227,0.603
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",6,-0.23,0.603
"('VSA_EState2', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.234,0.603
"('VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'AvgIpc')",4,-0.206,0.602
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",6,-0.215,0.602
"('TPSA', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.222,0.602
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4')",4,-0.209,0.601
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'BCUT2D_LOGPHI')",5,-0.222,0.601
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.223,0.601
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.226,0.601
"('HallKierAlpha', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.229,0.601
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BCUT2D_LOGPHI')",5,-0.196,0.6
"('TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT')",4,-0.199,0.6
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",5,-0.2,0.6
"('HallKierAlpha', 'SlogP_VSA8', 'BertzCT', 'AvgIpc')",4,-0.204,0.6
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'AvgIpc')",6,-0.208,0.6
"('HallKierAlpha', 'TPSA', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.22,0.6
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'BertzCT', 'AvgIpc')",6,-0.221,0.6
"('TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",5,-0.223,0.6
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.223,0.6
"('SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",4,-0.241,0.6
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BCUT2D_LOGPHI')",5,-0.203,0.599
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI')",6,-0.212,0.599
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",6,-0.217,0.599
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",6,-0.224,0.599
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",7,-0.228,0.599
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",7,-0.228,0.599
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.217,0.598
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",7,-0.221,0.598
"('TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.224,0.598
