,nr_tunnused,mse,oob
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'GATS7s')",5,-0.59,0.542
"('Eig03_EA(bo)', 'SdO', 'GATS7s', 'SpMin1_Bh(v)')",4,-0.538,0.541
"('Eig03_EA(bo)', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",3,-0.528,0.54
"('SdssC', 'SpMin1_Bh(v)')",2,-0.652,0.539
"('SpDiam_B(i)', 'SpDiam_B(e)')",2,-0.687,0.536
"('Eig03_EA(bo)', 'SdssC', 'SdO', 'GATS7s')",4,-0.585,0.535
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdO', 'GATS7s')",4,-0.63,0.533
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.587,0.53
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.585,0.529
"('SpDiam_B(i)', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",4,-0.589,0.529
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'GATS7s', 'SpMin1_Bh(v)')",4,-0.589,0.529
"('SpDiam_B(i)', 'SdO', 'GATS7s')",3,-0.549,0.528
"('Eig03_EA(bo)', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",4,-0.557,0.528
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.582,0.528
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.59,0.528
"('SdssC', 'SdO', 'SM13_AEA(ri)', 'GATS7s')",4,-0.578,0.526
"('Eig03_EA(bo)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'GATS7s')",5,-0.579,0.526
"('SpDiam_B(i)', 'SM13_AEA(ri)', 'GATS7s')",3,-0.608,0.526
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'GATS7s')",3,-0.608,0.526
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'GATS7s')",4,-0.614,0.526
"('SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",3,-0.554,0.525
"('Eig03_EA(bo)', 'GATS7s', 'SpMin1_Bh(v)')",3,-0.554,0.525
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SM13_AEA(ri)', 'GATS7s')",4,-0.608,0.525
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SM13_AEA(ri)', 'GATS7s')",5,-0.613,0.525
"('SpDiam_B(e)', 'SdssC', 'GATS7s')",3,-0.565,0.524
"('SdO', 'SpMin1_Bh(v)')",2,-0.567,0.524
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SM13_AEA(ri)', 'GATS7s')",4,-0.607,0.524
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdssC', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.554,0.523
"('SdssC', 'SM13_AEA(ri)')",2,-0.641,0.523
"('Eig03_EA(bo)', 'SdssC')",2,-0.641,0.523
"('SpDiam_B(i)', 'SdssC', 'GATS7s', 'SpMin1_Bh(v)')",4,-0.557,0.522
"('Eig03_EA(bo)', 'SdssC', 'SM13_AEA(ri)')",3,-0.636,0.518
"('Eig03_EA(bo)', 'SdssC', 'GATS7s')",3,-0.612,0.517
"('SpDiam_B(e)', 'GATS7s', 'SpMin1_Bh(v)')",3,-0.507,0.516
"('SdssC', 'SM13_AEA(ri)', 'GATS7s')",3,-0.611,0.51
"('SdssC', 'GATS7s', 'SpMin1_Bh(v)')",3,-0.589,0.507
"('Eig03_EA(bo)', 'SdO')",2,-0.611,0.504
"('SdO', 'SM13_AEA(ri)')",2,-0.611,0.503
"('Eig03_EA(bo)', 'SdssC', 'SM13_AEA(ri)', 'GATS7s')",4,-0.612,0.503
"('SdO', 'SM13_AEA(ri)', 'GATS7s')",3,-0.581,0.501
"('Eig03_EA(bo)', 'SdO', 'GATS7s')",3,-0.582,0.501
"('Eig03_EA(bo)', 'SdO', 'SM13_AEA(ri)')",3,-0.609,0.501
"('SdssC', 'SdO', 'GATS7s')",3,-0.645,0.499
"('SpDiam_B(i)', 'SdssC', 'GATS7s')",3,-0.591,0.497
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdssC', 'GATS7s')",4,-0.596,0.496
"('Eig03_EA(bo)', 'SdO', 'SM13_AEA(ri)', 'GATS7s')",4,-0.584,0.494
"('SdssC', 'SdO')",2,-0.641,0.486
