Molecule ChEMBL ID,Cell Name,Standard Type,Assay,Incubation Time Hours,Property Measured,max,min,mean,median,count
CHEMBL4799952,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.83,5.83,5.83,5.83,1
CHEMBL4788576,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.69,5.69,5.69,5.69,1
CHEMBL4797411,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.62,5.62,5.62,5.62,1
CHEMBL4792993,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.71,5.71,5.71,5.71,1
CHEMBL4792743,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.91,5.91,5.91,5.91,1
CHEMBL4792276,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.89,5.89,5.89,5.89,1
CHEMBL4791977,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.15,6.15,6.15,6.15,1
CHEMBL4791408,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.66,4.66,4.66,4.66,1
CHEMBL4789753,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.77,5.77,5.77,5.77,1
CHEMBL4789652,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.78,4.78,4.78,4.78,1
CHEMBL4789212,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.45,5.45,5.45,5.45,1
CHEMBL4789087,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.1,5.1,5.1,5.1,1
CHEMBL4649095,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.26,4.26,4.26,4.26,1
CHEMBL4788103,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.78,4.78,4.78,4.78,1
CHEMBL4797985,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.68,6.68,6.68,6.68,1
CHEMBL4634290,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.05,6.05,6.05,6.05,1
CHEMBL4633273,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.67,4.67,4.67,4.67,1
CHEMBL4632430,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.36,4.36,4.36,4.36,1
CHEMBL4591115,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.51,5.51,5.51,5.51,1
