Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,pChEMBL Value,Assay ChEMBL ID,Assay Description,Cell Name,InChIKey,Incubation Time Hours,Property Measured,Assay
CHEMBL4451749,,COc1cc(/C=C/C(=O)Nc2cccc(OCC3CCNCC3)c2)ccc1O.Cl,IC50,4.51,CHEMBL4315250,Antiproliferative activity against human U87MG cells assessed as reduction in cell viability measured after 72 hrs by MTT assay,U-87MG ATCC,NHIRLIGCPAUYLZ-WVLIHFOGSA-N,72.0,Antiproliferative activity,MTT
CHEMBL4453750,,COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(Cc5ccc(F)cc5)c4=O)cc3F)ccnc2cc1OCCCN1CCCCC1,IC50,5.67,CHEMBL4409746,Cytotoxicity against human U87MG cells assessed as reduction in cell viability incubated for 72 hrs by MTT assay,U-87MG ATCC,BKHJEJHQMSABBI-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL3113706,,O=[N+]([O-])c1ccc(O)c(/C=N/Nc2cnc3ccccc3n2)c1,IC50,5.68,CHEMBL3118174,Cytotoxicity against human SF295 cells assessed as growth inhibition by MTT assay,SF295,PPXNOINSRNIZRH-CAOOACKPSA-N,,Cytotoxicity,MTT
CHEMBL2436000,,COc1cc2c(Oc3ccc(NC(=O)c4cc(-c5ccccc5C)ccn4)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,IC50,5.69,CHEMBL2437785,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,LKJFGAFEPSNWPJ-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL2385188,,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccccc5F)c5ccccc5c4=O)cc3F)ccnc2cc1OCCCN1CCC(C)CC1,IC50,5.92,CHEMBL2390322,Cytotoxicity against c-Met-dependent human U87MG cells assessed as growth inhibition after 72 hrs by MTT assay,U-87MG ATCC,QABSXSLQFVTLTK-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL2385202,,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccccc5C(F)(F)F)c5ccccc5c4=O)cc3F)ccnc2cc1OCCCN1CCCCC1,IC50,5.94,CHEMBL2390322,Cytotoxicity against c-Met-dependent human U87MG cells assessed as growth inhibition after 72 hrs by MTT assay,U-87MG ATCC,NCZHZMPXMHJOKE-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL2385206,,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccc(Br)cc5)c5ccccc5c4=O)cc3F)ccnc2cc1OCCCN1CCCCC1,IC50,5.8,CHEMBL2390322,Cytotoxicity against c-Met-dependent human U87MG cells assessed as growth inhibition after 72 hrs by MTT assay,U-87MG ATCC,QVRRVDVQZFLJPI-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL2385176,,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccccc5C(F)(F)F)c5ccccc5c4=O)cc3F)ccnc2cc1OCCCN1CCOCC1,IC50,5.83,CHEMBL2390322,Cytotoxicity against c-Met-dependent human U87MG cells assessed as growth inhibition after 72 hrs by MTT assay,U-87MG ATCC,YRIRNSUDWILAQP-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL2385198,,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5c(Cl)cccc5Cl)c5ccccc5c4=O)cc3F)ccnc2cc1OCCCN1CCCC1,IC50,5.9,CHEMBL2390322,Cytotoxicity against c-Met-dependent human U87MG cells assessed as growth inhibition after 72 hrs by MTT assay,U-87MG ATCC,YXHJZCCPKMMPDW-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL2392824,,COc1ccc(-c2cc(C(=O)Nc3ccc(Oc4ccnc5cc(OCCCN6CCCC6)c(OC)cc45)c(F)c3)c3cc(F)ccc3n2)cc1,IC50,6.03,CHEMBL2395923,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,ACLUFQYNCIXYPM-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL2392942,,COc1cc2c(Oc3ccc(NC(=O)c4cc(-c5ccccc5)nc5ccccc45)cc3F)ccnc2cc1OCCCN1CCC(C)CC1,IC50,6.04,CHEMBL2395923,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,HJPZKRAXGGLLCM-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL4060213,,CCCCNc1nc(SC)nc2c1ccn2Cc1ccc(F)cc1,IC50,4.68,CHEMBL3993695,Cytotoxicity against human U87MG cells assessed as decrease in cell viability after 72 hrs by coulter counter analysis,U-87MG ATCC,FQVMTUKCTPYSEC-UHFFFAOYSA-N,72.0,Cytotoxicity,Unspecified
CHEMBL2297275,,COc1cc(OC)c2c(NCc3ccccc3)cc(-c3ccccc3)nc2c1,IC50,5.15,CHEMBL3070030,Antitumor activity against Homo sapiens (human) LN229 cells assessed as inhibition of cell viability after 72 hr by MTT assay,LN-229,ZCOHSLDTKONWKK-UHFFFAOYSA-N,72.0,Unspecified,MTT
CHEMBL2297272,,COc1cc(OC)c2c(N3CCN(C)CC3)cc(-c3ccccc3)nc2c1,IC50,5.76,CHEMBL3070030,Antitumor activity against Homo sapiens (human) LN229 cells assessed as inhibition of cell viability after 72 hr by MTT assay,LN-229,PLIQXFGTHSMWHJ-UHFFFAOYSA-N,72.0,Unspecified,MTT
CHEMBL2297268,,CCCCNc1cc(-c2ccccc2)nc2cc(OC)cc(OC)c12,IC50,5.41,CHEMBL3070030,Antitumor activity against Homo sapiens (human) LN229 cells assessed as inhibition of cell viability after 72 hr by MTT assay,LN-229,PDUABDJEEBIIKK-UHFFFAOYSA-N,72.0,Unspecified,MTT
CHEMBL3781720,,N#CCc1ccc(-n2c(=O)[nH]c3c(=O)oc4ccc(-c5ccccc5)cc4c32)cc1,IC50,4.5,CHEMBL3783887,Growth inhibition of human U87MG cells assessed as cell viability after 72 hrs by MTT assay,U-87MG ATCC,LITPROVKGQYSLW-UHFFFAOYSA-N,72.0,Growth inhibition,MTT
CHEMBL1230020,PLX-4720,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,IC50,4.29,CHEMBL2363632,SANGER: Inhibition of human SF295 cell growth in a cell viability assay.,SF295,YZDJQTHVDDOVHR-UHFFFAOYSA-N,,Growth inhibition,Unspecified
CHEMBL2165052,,Cc1nc(N)nc(-c2cccnc2Nc2cccc(O)c2)n1,IC50,7.22,CHEMBL2169663,Inhibition of Phosphatidylinositol 3-kinase pathway in PTEN-deficient human U87MG cells assessed as inhibition of phosphorylation of AKTat Ser473 after 2 hrs by AlphaScreen assay,U-87MG ATCC,ITUBWSOGJQVWCJ-UHFFFAOYSA-N,2.0,Unspecified,AlphaScreen
CHEMBL2375552,,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C1n1cc(C2CCCCC2)nn1,IC50,5.5,CHEMBL3118051,Cytotoxicity against human SF295 cells assessed as cell viability after 72 hrs by MTT assay,SF295,DNRCXULLPXOXGG-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL2375476,,CCC(C)(O)c1cn(C2CC(C)(C)OC3=C2C(=O)c2ccccc2C3=O)nn1,IC50,5.38,CHEMBL3118051,Cytotoxicity against human SF295 cells assessed as cell viability after 72 hrs by MTT assay,SF295,ZFNUJYXVCGAIRX-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL3262845,,Cn1cnnc1-c1cc(Oc2ccc(NC(=O)N/N=C/c3ccccc3)cc2F)ccn1,IC50,4.44,CHEMBL3271571,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,GPPWMADCPAEKSN-DHRITJCHSA-N,72.0,Cytotoxicity,MTT
CHEMBL3262860,,CN(C)CCn1cnnc1-c1cc(Oc2ccc(NC(=O)N/N=C/c3ccc(O)cc3)cc2F)ccn1,IC50,5.11,CHEMBL3271571,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,VUTCCEJQYPCNLA-RWPZCVJISA-N,72.0,Cytotoxicity,MTT
CHEMBL3262865,,Cc1cc(/C=N/NC(=O)Nc2ccc(Oc3ccnc(-c4nncn4CCN(C)C)c3)c(F)c2)cc(C)c1O,IC50,5.11,CHEMBL3271571,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,HSWWIQFCGIMTQE-FJEPWZHXSA-N,72.0,Cytotoxicity,MTT
CHEMBL3262866,,CN(C)CCn1cnnc1-c1cc(Oc2ccc(NC(=O)N/N=C/c3cc(C(C)(C)C)cc(C(C)(C)C)c3O)cc2F)ccn1,IC50,6.28,CHEMBL3271571,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,GTNVXSUZBLAROW-ODNPBWNPSA-N,72.0,Cytotoxicity,MTT
CHEMBL3263122,,COc1ccc(/C=N/NC(=O)Nc2ccc(Oc3ccnc(-c4nncn4CCN(C)C)c3)c(F)c2)c(OC)c1OC,IC50,5.12,CHEMBL3271571,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,FXSLJSRWXCSNNE-WCMJOSRZSA-N,72.0,Cytotoxicity,MTT
CHEMBL3263125,,CN(C)CCn1cnnc1-c1cc(Oc2ccc(NC(=O)N/N=C/c3ccc4c(c3)OCO4)cc2F)ccn1,IC50,6.14,CHEMBL3271571,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,JUKOZSDIACGIFL-IPPBACCNSA-N,72.0,Cytotoxicity,MTT
CHEMBL2348724,,Nc1n[nH]c(=O)c2ccccc12,IC50,5.22,CHEMBL2351701,Cytotoxicity against human SF295 cells after 48 hrs by MTT assay,SF295,IUBSMBJKUKVEMK-UHFFFAOYSA-N,48.0,Cytotoxicity,MTT
CHEMBL3986488,,CC1(C)OC2=C(C(=O)C(=O)c3ccccc32)C1n1nnc(-c2ccccc2)c1I,IC50,5.55,CHEMBL3862209,Cytotoxicity against human SF295 cells assessed as decrease in cell viability after 72 hrs by MTT assay,SF295,UXBPRHGBARQXMO-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL3911886,,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C1n1nncc1-c1ccccc1,IC50,5.55,CHEMBL3862209,Cytotoxicity against human SF295 cells assessed as decrease in cell viability after 72 hrs by MTT assay,SF295,CCTAXCDYRZFLMW-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL3901778,,O=C1C(=O)c2ccccc2C2=C1CC(Cn1nncc1-c1ccccc1)O2,IC50,5.11,CHEMBL3862209,Cytotoxicity against human SF295 cells assessed as decrease in cell viability after 72 hrs by MTT assay,SF295,GPKASGONNYIPKG-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL3952951,,O=C1C(=O)c2ccccc2C2=C1CC(Cn1cc(C3=CCCCC3)nn1)O2,IC50,5.63,CHEMBL3862209,Cytotoxicity against human SF295 cells assessed as decrease in cell viability after 72 hrs by MTT assay,SF295,WOWMAWBIEUQPCI-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL3806140,,O=C(/C=C\Nc1ccc(Cl)cc1)c1cn(-c2ccccc2)nc1-c1ccccc1,IC50,4.94,CHEMBL3808074,Antiproliferative activity against human U87MG cells after 48 hrs by MTT assay,U-87MG ATCC,MJCYXBGMYBXSHF-NXVVXOECSA-N,48.0,Antiproliferative activity,MTT
CHEMBL3793270,,BrCCCCCCN1c2ccc(Br)cc2Sc2cccnc21,IC50,5.05,CHEMBL3795261,Cytotoxicity against human T98G cells assessed as cell viability after 24 hrs by MTT assay,T98G,ZFSLTURYGVDXIY-UHFFFAOYSA-N,24.0,Cytotoxicity,MTT
CHEMBL3793661,,CC(=O)N1CCN(CCCCCCN2c3ccccc3Sc3cccnc32)CC1,IC50,4.68,CHEMBL3795261,Cytotoxicity against human T98G cells assessed as cell viability after 24 hrs by MTT assay,T98G,ZXKPHFCJOIZGBZ-UHFFFAOYSA-N,24.0,Cytotoxicity,MTT
CHEMBL3092925,,C=CCCCCOc1ncc(-c2cc(C(C)C)ccc2OC)n1C,IC50,5.22,CHEMBL3097572,Cytotoxicity against apoptotic-resistant human T98G cells assessed as growth inhibition after 72 hrs by MTT-based colorimetric assay,T98G,XXAGNOIZVPRFLM-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT-based colorimetric
CHEMBL3092928,,C=CCCOc1ncc(-c2ccccc2OC)n1C,IC50,4.41,CHEMBL3097572,Cytotoxicity against apoptotic-resistant human T98G cells assessed as growth inhibition after 72 hrs by MTT-based colorimetric assay,T98G,VOLSTGCHRLWGMM-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT-based colorimetric
CHEMBL3092933,,C=CCCCCCOc1ncc(-c2ccccc2OCCCCC=C)n1C,IC50,4.2,CHEMBL3097572,Cytotoxicity against apoptotic-resistant human T98G cells assessed as growth inhibition after 72 hrs by MTT-based colorimetric assay,T98G,DMTIIWJTCDCVEM-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT-based colorimetric
CHEMBL3093016,,C=CCCCCOc1cc2ccccc2cc1-c1cnc(OCCC=C)n1C,IC50,4.5,CHEMBL3097572,Cytotoxicity against apoptotic-resistant human T98G cells assessed as growth inhibition after 72 hrs by MTT-based colorimetric assay,T98G,RUEBIOFSSXTYMQ-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT-based colorimetric
CHEMBL180127,SALUBRINAL,O=C(/C=C/c1ccccc1)NC(NC(=S)Nc1cccc2cccnc12)C(Cl)(Cl)Cl,IC50,4.29,CHEMBL2363630,SANGER: Inhibition of human SF126 cell growth in a cell viability assay.,SF126,LCOIAYJMPKXARU-VAWYXSNFSA-N,,Growth inhibition,Unspecified
CHEMBL3416185,,COc1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2cc1OC,IC50,5.3,CHEMBL3421311,Antiproliferative activity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,QXZWVYUEPCJXSN-UHFFFAOYSA-N,72.0,Antiproliferative activity,MTT
CHEMBL3414588,,COc1cc2nc(-c3ccc(OC)c(C(N)=O)c3)nc(N3CCOCC3)c2cc1OC,IC50,5.72,CHEMBL3421311,Antiproliferative activity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,RRSGTZKCGTZSHE-UHFFFAOYSA-N,72.0,Antiproliferative activity,MTT
CHEMBL305942,FAGARIDINE,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1O,IC50,5.95,CHEMBL822902,In vitro cytotoxicity against XF498 (human CNS) tumor cell line.,XF 498,RSCIYYHIBVZXDI-UHFFFAOYSA-O,,Cytotoxicity,Unspecified
CHEMBL3121274,,COc1cc(OC)cc(C(=O)Nc2ccc(I)cn2)c1,EC50,5.88,CHEMBL3122444,Decrease in PrPc expression on human T98G cell surface after 2 days by ELISA,T98G,KPZBBEOAWINKFP-UHFFFAOYSA-N,48.0,Unspecified,ELISA
CHEMBL3262847,,CN(C)CCn1cnnc1-c1cc(Oc2ccc(NC(=O)N/N=C/c3ccc(Cl)cc3)cc2F)ccn1,IC50,5.86,CHEMBL3271571,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,JFZSKKWSBXCPGI-WKULSOCRSA-N,72.0,Cytotoxicity,MTT
CHEMBL4864756,,COc1cc(C(=O)NC2CCCN(C(=O)CCCCCN3/C(=C/C=C4\CCCC(/C=C/C5=[N+](CCCCCC(=O)N6CCCC(NC(=O)c7cc(OC)c(OC)c(OC)c7)C6)c6ccccc6C5(C)C)=C4Cl)C(C)(C)c4ccccc43)C2)cc(OC)c1OC.[Br-],EC50,6.41,CHEMBL4810919,Cytotoxicity against human U-87MG cells assessed as reduction in total cell count measured after 96 hrs by Hoechst staining analysis,U-87MG ATCC,QTRZVIIDNJPRSU-UHFFFAOYSA-N,96.0,Cytotoxicity,Unspecified
CHEMBL2381447,,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OCc6cn(-c7ccc8c(c7)OCO8)nn6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,IC50,4.75,CHEMBL2383735,Cytotoxicity against human SF295 cells after 48 hrs by SRB assay,SF295,LLYHHQGLZTYOIO-FEOXQYHVSA-N,48.0,Cytotoxicity,SRB
CHEMBL4854987,,COc1cc(C(=O)c2cn(-c3ccc(F)cc3)cc2-c2ccncc2)cc(OC)c1OC,IC50,7.41,CHEMBL4838790,Cytotoxicity against human U-87MG cells assessed as cell growth inhibition measured after 48 hrs by MTS colorimetric assay,U-87MG ATCC,HSFUMBZPJRQQBQ-UHFFFAOYSA-N,48.0,Cytotoxicity,MTS colorimetric
CHEMBL1760588,BERBIKONOL,COc1ccc([C@H](O)[C@@H](CO)Oc2c(OC)cc([C@@H]3Oc4c(OC)cc(CCCO)cc4[C@H]3CO)cc2OC)cc1OC,IC50,4.71,CHEMBL1763720,Anticancer activity against human XF498 cells by SRB assay,XF 498,ABIOAIYWIAGXDZ-JZQDODDWSA-N,,Anticancer activity,SRB
CHEMBL1760589,FICUSESQUILIGNAN A,COc1cc([C@@H](O)[C@H](CO)Oc2ccc([C@@H]3OC[C@@H]4[C@H]3CO[C@H]4c3cc(OC)c(O)c(OC)c3)cc2OC)ccc1O,IC50,5.02,CHEMBL1763720,Anticancer activity against human XF498 cells by SRB assay,XF 498,PFZFCRCFYYFTPE-RWMYVIIASA-N,,Anticancer activity,SRB
CHEMBL1760594,,COc1cc([C@@H]2c3c(cc(OC)c(O)c3OC)C[C@H](CO)[C@H]2CO)cc(OC)c1O,IC50,4.58,CHEMBL1763720,Anticancer activity against human XF498 cells by SRB assay,XF 498,ZDVZKBOFCHOPLM-LBTNJELSSA-N,,Anticancer activity,SRB
CHEMBL455365,,COc1cc([C@H]2c3c(cc(OC)c(O)c3OC)C[C@@H](CO)[C@@H]2CO)cc(OC)c1O,IC50,5.15,CHEMBL1763720,Anticancer activity against human XF498 cells by SRB assay,XF 498,ZDVZKBOFCHOPLM-SUNYJGFJSA-N,,Anticancer activity,SRB
CHEMBL1760597,,COc1ccc(CC(=O)O)cc1,IC50,4.55,CHEMBL1763720,Anticancer activity against human XF498 cells by SRB assay,XF 498,NRPFNQUDKRYCNX-UHFFFAOYSA-N,,Anticancer activity,SRB
CHEMBL2392951,,COc1ccc(-c2cc(C(=O)Nc3ccc(Oc4ccnc5cc(OCCCN6CCCCC6)c(OC)cc45)c(F)c3)c3cc(F)ccc3n2)cc1,IC50,5.96,CHEMBL2395923,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,MRZXKRZICOTLCN-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL4080532,,Cc1cc(=O)n(-c2ccccc2C(F)(F)F)nc1C(=O)Nc1ccc(Oc2ccnc3[nH]ccc23)cc1,IC50,5.72,CHEMBL4034160,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,YAHBWSUTJNPKIT-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL4093275,,Cc1cc(=O)n(-c2ccccc2F)nc1C(=O)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,IC50,5.2,CHEMBL4034160,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,TUJPISNEJSVWCB-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL5592590,,O=C1c2ccccc2C(=O)c2c(O)c3c(c(O)c21)CC(C(=O)N[C@H]1CCNC1)C3,IC50,5.29,CHEMBL5529312,Antiproliferative activity against human LN-229 cells assessed as inhibition of cell growth incubated for 72 hrs by MTT assay,LN-229,PREHDGJVTUBHPV-NSHDSACASA-N,72.0,Antiproliferative activity,MTT
CHEMBL5555258,,O=C1c2ccccc2C(=O)c2c(O)c3c(c(O)c21)CC(C(=O)N1CCC(N2CCCCC2)CC1)C3,IC50,5.55,CHEMBL5529312,Antiproliferative activity against human LN-229 cells assessed as inhibition of cell growth incubated for 72 hrs by MTT assay,LN-229,DOVUGJIPCTTWJH-UHFFFAOYSA-N,72.0,Antiproliferative activity,MTT
CHEMBL4575746,,COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(Cc5ccccc5)c4=O)cc3F)ccnc2cc1OCCCN1CCOCC1,IC50,5.37,CHEMBL4409746,Cytotoxicity against human U87MG cells assessed as reduction in cell viability incubated for 72 hrs by MTT assay,U-87MG ATCC,VLELOJUMXNTMDJ-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL4441090,,COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(C5CCCC5)c4=O)cc3F)ccnc2cc1OCCCN1CCC(C)CC1,IC50,5.27,CHEMBL4409746,Cytotoxicity against human U87MG cells assessed as reduction in cell viability incubated for 72 hrs by MTT assay,U-87MG ATCC,CGCPUDDQPHXYNV-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL4098763,,CSc1nc(NCCc2ccc(Cl)cc2)c2ccn(Cc3ccc(F)cc3)c2n1,IC50,4.34,CHEMBL3993695,Cytotoxicity against human U87MG cells assessed as decrease in cell viability after 72 hrs by coulter counter analysis,U-87MG ATCC,WIHTVIAVTFAFHD-UHFFFAOYSA-N,72.0,Cytotoxicity,Unspecified
CHEMBL3621994,,Cc1ccc(/C=C/C(=O)c2ccc(NC3C4=C(OC3(C)C)c3ccccc3C(=O)C4=O)cc2)cc1,IC50,5.34,CHEMBL3624431,Cytotoxicity against human SF295 cells after 72 hrs by MTT assay,SF295,ZNUCWZNVXLGUSK-SFQUDFHCSA-N,72.0,Cytotoxicity,MTT
CHEMBL441441,ALPHA-LAPACHONE,CC1(C)CCC2=C(O1)C(=O)c1ccccc1C2=O,IC50,4.73,CHEMBL3624431,Cytotoxicity against human SF295 cells after 72 hrs by MTT assay,SF295,PJWHOPKRRBUSDH-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL1652071,,CCCC1=C(O)C(=O)C2=C(CCCC2)C1=O,IC50,4.64,CHEMBL1664369,Cytotoxicity against human SF295 cells after 72 hrs by MTT assay,SF295,CQUTYTUJYIFOMU-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL1652075,,O=C1c2ccccc2C(=O)c2c1ccc1nc(-c3cccc(F)c3)[nH]c21,IC50,4.84,CHEMBL1664369,Cytotoxicity against human SF295 cells after 72 hrs by MTT assay,SF295,PKEVBAAYDGBCRS-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL1652077,,Cc1ccccc1-c1nc2ccc3c(c2[nH]1)C(=O)c1ccccc1C3=O,IC50,4.83,CHEMBL1664369,Cytotoxicity against human SF295 cells after 72 hrs by MTT assay,SF295,QVXHINYXGZQZKJ-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL604471,,Cc1ccc(-c2nc3ccc4c(c3[nH]2)C(=O)c2ccccc2C4=O)cc1,IC50,4.83,CHEMBL1664369,Cytotoxicity against human SF295 cells after 72 hrs by MTT assay,SF295,MRHQJLSJDVEZQP-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL5624986,,COc1cc(C(=O)/C=C/c2ccccc2C(=O)N2CCN(Cc3ccccc3)C23COC3)cc(OC)c1OC,IC50,5.26,CHEMBL5622705,Antiproliferative activity against human U87 cells assessed as cell viability measured after 72 hrs by MTT assay,U-87MG ATCC,OBBXIDOCUKVRIY-BUHFOSPRSA-N,72.0,Antiproliferative activity,MTT
CHEMBL5624576,,O=C(/C=C/c1ccc(C(=O)N2CCN(Cc3ccccc3)C23COC3)cc1)c1ccccc1,IC50,5.3,CHEMBL5622705,Antiproliferative activity against human U87 cells assessed as cell viability measured after 72 hrs by MTT assay,U-87MG ATCC,KMYZPKBNYTUWMF-DTQAZKPQSA-N,72.0,Antiproliferative activity,MTT
CHEMBL5624739,,O=C(/C=C/c1ccc(C(=O)N2CCN(Cc3ccccc3)C23COC3)cc1)c1ccncc1,IC50,5.28,CHEMBL5622705,Antiproliferative activity against human U87 cells assessed as cell viability measured after 72 hrs by MTT assay,U-87MG ATCC,PJEYCULHRXACRW-DHZHZOJOSA-N,72.0,Antiproliferative activity,MTT
CHEMBL5630408,,N#Cc1ccc(C(=O)/C=C/c2ccc(C(=O)N3CCN(Cc4ccccc4)C34COC4)cc2)cc1,IC50,5.2,CHEMBL5622705,Antiproliferative activity against human U87 cells assessed as cell viability measured after 72 hrs by MTT assay,U-87MG ATCC,BGUVZKJVWHVYIX-XNTDXEJSSA-N,72.0,Antiproliferative activity,MTT
CHEMBL1822055,,Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1,IC50,6.38,CHEMBL1828261,Inhibition of PI3K-mediated Akt phosphorylation at Ser 473 in human U87MG cells after 2 hrs by alphascreen assay,U-87MG ATCC,FPJNXVCSICMXRJ-UHFFFAOYSA-N,2.0,Unspecified,alphascreen
CHEMBL1822056,,O=S(=O)(Nc1cc(-c2ccc3nccn3n2)cnc1Cl)c1ccc(F)cc1,IC50,7.3,CHEMBL1828261,Inhibition of PI3K-mediated Akt phosphorylation at Ser 473 in human U87MG cells after 2 hrs by alphascreen assay,U-87MG ATCC,WEIYGNUYMJRNTA-UHFFFAOYSA-N,2.0,Unspecified,alphascreen
CHEMBL550986,,COc1ccc(-c2c(CO)c(CO)c3n2-c2ccc(OC)cc2C3)cc1,IC50,4.61,CHEMBL1053149,Cytotoxicity against human U87 cells after 72 hrs by WST-1 assay,U-87MG ATCC,OKKFIOJHAIELBA-UHFFFAOYSA-N,72.0,Cytotoxicity,WST-1
CHEMBL561917,,CNC(=O)OCc1c(COC(=O)NC)c(-c2ccc(OC)cc2)n2c1Cc1ccccc1-2,IC50,4.46,CHEMBL1053149,Cytotoxicity against human U87 cells after 72 hrs by WST-1 assay,U-87MG ATCC,FHWSLEBLQJUACW-UHFFFAOYSA-N,72.0,Cytotoxicity,WST-1
CHEMBL552053,,COc1ccc(-c2c(CO)c(CO)c3n2-c2ccccc2C3)cc1,IC50,4.34,CHEMBL1053149,Cytotoxicity against human U87 cells after 72 hrs by WST-1 assay,U-87MG ATCC,SCNHIBOGDBGMJE-UHFFFAOYSA-N,72.0,Cytotoxicity,WST-1
CHEMBL4059832,,COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(-c5ccccc5F)c4=O)cc3F)ccnc2cc1OCCCN1CCCCC1,IC50,5.93,CHEMBL4057887,Antiproliferative activity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,QQUWBQJOOWMYGO-UHFFFAOYSA-N,72.0,Antiproliferative activity,MTT
CHEMBL4071208,,COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(-c5ccccc5Cl)c4=O)cc3F)ccnc2cc1OCCCN1CCCCC1,IC50,5.91,CHEMBL4057887,Antiproliferative activity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,OZCQMOAWZCBZGN-UHFFFAOYSA-N,72.0,Antiproliferative activity,MTT
CHEMBL3335759,,Cn1cc(-c2cnc(N3CCO[C@H](Cn4nc(-c5ccc(OCc6ccccc6)cc5)ccc4=O)C3)nc2)cn1,IC50,5.12,CHEMBL3389848,Cytotoxicity against human U87MG cells after 72 hrs by WST8 assay,U-87MG ATCC,RBIQCGFCXSOQEO-MHZLTWQESA-N,72.0,Cytotoxicity,WST8
