Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,pChEMBL Value,Assay ChEMBL ID,Assay Description,Cell Name,InChIKey,Incubation Time Hours,Property Measured,Assay
CHEMBL34259,METHOTREXATE,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,IC50,5.72,CHEMBL2363720,SANGER: Inhibition of human A172 cell growth in a cell viability assay.,A-172,FBOZXECLQNJBKD-ZDUSSCGKSA-N,,Growth inhibition,Unspecified
CHEMBL98,VORINOSTAT,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,4.68,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,WAEXFXRVDQXREF-UHFFFAOYSA-N,,Growth inhibition,Unspecified
CHEMBL2041933,AZD-7762,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1,IC50,5.92,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,IAYGCINLNONXHY-LBPRGKRZSA-N,,Growth inhibition,Unspecified
CHEMBL110525,,CCOC(=O)c1cnc2c(c1)-c1nc3ccccc3c3ccnc(c13)C2=O,IC50,7.16,CHEMBL878023,In vitro inhibition of U-87 MG (human glioblastoma) cell growth.,U-87MG ATCC,NJGLKAOBESXCHS-UHFFFAOYSA-N,,Growth inhibition,Unspecified
CHEMBL87506,,CCOC(=O)Cn1c(=O)c(-c2ccc(OC)cc2)cc2c(OC)cc(OC)cc21,IC50,5.0,CHEMBL620413,Cytotoxicity against A-172 glioblastomas using MTT colorimetric assay,A-172,RRACHVADVPJIDE-UHFFFAOYSA-N,,Cytotoxicity,MTT
CHEMBL316130,,COc1ccc(-c2cc3c(OC)cc(OC)cc3n(CCN(C)C)c2=O)cc1,IC50,5.0,CHEMBL815080,Cytotoxicity against U-87 MG glioblastomas using MTT colorimetric assay,U-87MG ATCC,GGCKHBAUSWWNEQ-UHFFFAOYSA-N,,Cytotoxicity,MTT
CHEMBL220172,,Cc1cc(N2CCC[C@H]2C(=O)NCCc2ccc3c(c2)OCO3)nc(-n2ccnc2)n1,IC50,5.19,CHEMBL920402,Inhibition of cytokine-induced iNOS expressed in human A172 cells assessed as inhibition of NO formation,A-172,LBCGUKCXRVUULK-KRWDZBQOSA-N,,Unspecified,Unspecified
CHEMBL220880,,CCc1cc(N2CCC[C@@H]2CC(=O)NCc2ccc3c(c2)OCO3)nc(-n2ccnc2)n1,IC50,9.89,CHEMBL920402,Inhibition of cytokine-induced iNOS expressed in human A172 cells assessed as inhibition of NO formation,A-172,QZMBUROFNSSUCP-GOSISDBHSA-N,,Unspecified,Unspecified
CHEMBL119,TRIMETREXATE,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,IC50,7.96,CHEMBL815878,Cytotoxic activity was evaluated against U87MG tumor cells,U-87MG ATCC,NOYPYLRCIDNJJB-UHFFFAOYSA-N,,Cytotoxicity,Unspecified
CHEMBL85742,,COc1cc(OC)c2cc(-c3ccc(OCc4ccccc4)cc3)c(O)nc2c1,IC50,5.0,CHEMBL815080,Cytotoxicity against U-87 MG glioblastomas using MTT colorimetric assay,U-87MG ATCC,QPBWAIBGHJOAES-UHFFFAOYSA-N,,Cytotoxicity,MTT
CHEMBL110730,,CCO/N=C(\c1ccc(Br)cc1)C1CCN(C2(C)CCN(C(=O)c3c(C)cc(C)nc3O)CC2)CC1,IC50,8.19,CHEMBL815091,Concentration required to inhibit the entry of HIV-1 reporter virus (ADA) into U-87 cells by 50%,U-87MG ATCC,NSNVDTQEDMRJDI-QCKNELIISA-N,,Unspecified,Unspecified
