Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,pChEMBL Value,Assay ChEMBL ID,Assay Description,Cell Name,InChIKey
CHEMBL5620207,,C#CCNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,IC50,4.44,CHEMBL5616776,Antiproliferative activity against human U-87 MG cells assessed as inhibition of cell growth incubated for 68 hrs by CCK-8 assay,U-87MG ATCC,SPCWHTKAHOLBOD-PMERELPUSA-N
CHEMBL5619479,,COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(c1c[nH]c2cccc(F)c12)c1c[nH]c2cccc(F)c12,IC50,4.97,CHEMBL5616777,Antiproliferative activity against human LN-229 cells assessed as inhibition of cell growth incubated for 68 hrs by CCK-8 assay,LN-229,NCEYYCYQKDMNMV-SANMLTNESA-N
CHEMBL5620207,,C#CCNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,IC50,4.76,CHEMBL5616777,Antiproliferative activity against human LN-229 cells assessed as inhibition of cell growth incubated for 68 hrs by CCK-8 assay,LN-229,SPCWHTKAHOLBOD-PMERELPUSA-N
CHEMBL5618644,,CCCCCCCNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,IC50,4.97,CHEMBL5616777,Antiproliferative activity against human LN-229 cells assessed as inhibition of cell growth incubated for 68 hrs by CCK-8 assay,LN-229,LWAKRXJTSPCTEM-UMSFTDKQSA-N
CHEMBL5619198,,CCCCCCCCCCOC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,IC50,4.88,CHEMBL5616777,Antiproliferative activity against human LN-229 cells assessed as inhibition of cell growth incubated for 68 hrs by CCK-8 assay,LN-229,OAHWQNOGENVZIW-QNGWXLTQSA-N
CHEMBL4571722,,C=CC(=O)N1CCN(Cc2ccc([C@H](C)Nc3nccc(N4C(=O)OC[C@@H]4[C@@H](C)O)n3)cc2)CC1,IC50,7.82,CHEMBL5625326,Antiproliferative activity against human U-87 MG cells harboring IDH1 R132H mutant measured after 72 hrs by MTT assay,U-87MG ATCC,NZIKKCSMHNBNPK-WAOWUJCRSA-N
CHEMBL5632259,,C=CC(=O)N1CCN(C(CC)c2ccc([C@H](C)Nc3nccc(N4CCOC4=O)n3)cc2)CC1,IC50,8.66,CHEMBL5625326,Antiproliferative activity against human U-87 MG cells harboring IDH1 R132H mutant measured after 72 hrs by MTT assay,U-87MG ATCC,VLZWVMXOKOOBSV-YMXDCFFPSA-N
CHEMBL223046,VEDELIANIN,CC(C)=CCc1c(O)cc(/C=C/c2cc(O)c3c(c2)C[C@@H]2C(C)(C)[C@H](O)[C@H](O)C[C@@]2(C)O3)cc1O,IC50,7.82,CHEMBL5373035,Antiproliferative activity against human U-87 MG cells assessed as inhibition of cell proliferation incubated for 72 hrs by CellTiter-Glo luminescent assay,U-87MG ATCC,OYMAGMAEFPAAGU-HKYLTJPLSA-N
CHEMBL3220808,,C[C@H]1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC[N+](C)(C)Cc4ccccc4)[C@@H]2CC[C@]1(Cl)C3.[Br-],IC50,4.2,CHEMBL4689358,Cytotoxicity against human T98G cells assessed as reduction in cell viability by DAPI staining based assay,T98G,VVEZDYZVKNBPHF-PRQQZGLHSA-M
CHEMBL5281732,,COc1cc(Nc2ccc3nnc(-c4cccs4)n3c2)cc(OC)c1OC,IC50,4.69,CHEMBL5224863,Antiproliferative activity against human T98G cells assessed as inhibition of cell growth,T98G,NEUWAHWZAYQREP-UHFFFAOYSA-N
CHEMBL5620052,,COc1ccc(-c2ccc(C(=O)N3CCc4c(cc(Cl)c(C(=O)NO)c4Cl)C3)cc2)cc1,IC50,5.4,CHEMBL5614661,Antiproliferative activity against human U-87 MG cells,U-87MG ATCC,RDTQMQMGGPHOHV-UHFFFAOYSA-N
CHEMBL1173154,,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)cc2)ccc1O,IC50,5.26,CHEMBL4838616,Cytotoxicity against human U87 cells assessed as reduction in cell viability incubated for 72 hrs by MTT assay,U-87MG ATCC,NMRUIRRIQNAQEB-VEAXOGKZSA-N
CHEMBL4877449,,CC(C)OC(=O)[C@H](N)Cc1cn(C)c2ccccc12.Cl,IC50,6.07,CHEMBL4838616,Cytotoxicity against human U87 cells assessed as reduction in cell viability incubated for 72 hrs by MTT assay,U-87MG ATCC,SNYZUMLXSTYVPU-BTQNPOSSSA-N
CHEMBL558642,GSK-650394,O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1,IC50,4.6,CHEMBL2363720,SANGER: Inhibition of human A172 cell growth in a cell viability assay.,A-172,WVSBGSNVCDAMCF-UHFFFAOYSA-N
CHEMBL575448,BMS-754807,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,IC50,5.82,CHEMBL2363720,SANGER: Inhibition of human A172 cell growth in a cell viability assay.,A-172,LQVXSNNAFNGRAH-QHCPKHFHSA-N
CHEMBL477772,PAZOPANIB,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,IC50,5.43,CHEMBL2363720,SANGER: Inhibition of human A172 cell growth in a cell viability assay.,A-172,CUIHSIWYWATEQL-UHFFFAOYSA-N
CHEMBL939,GEFITINIB,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,IC50,5.34,CHEMBL2363720,SANGER: Inhibition of human A172 cell growth in a cell viability assay.,A-172,XGALLCVXEZPNRQ-UHFFFAOYSA-N
CHEMBL803,CYTARABINE,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,IC50,5.76,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,UHDGCWIWMRVCDJ-CCXZUQQUSA-N
