SMILES,Ennustus
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1ccc(C)c(C)c1,[5.0483]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)Cc1ccc(C)c(C)c1,[5.0027]
CN(CCc1scnc1C)c1nc(cs1)-c1ccccc1,[4.9132]
CC(N(C)Cc1cc(ccc1F)C(F)(F)F)c1ccccn1,[5.1388]
Cc1ccc(F)c(C(=O)N2C[C@@H](O[C@@H](C2)c2ccccc2)C2CC2)c1F,[5.3585]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)C(c1ccccc1)c1ccccc1,[5.445]
CN(Cc1c(Cl)ccc(C)c1F)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[4.9995]
CC(C)(C)[C@H]1CN(Cc2ccncc2)C[C@H](O1)c1ccccc1,[5.2621]
CCC[C@]1(CO)CCN(Cc2c(F)ccc(Cl)c2Cl)C[C@H]1O,[4.9282]
CCCC[C@@H]1CN(C[C@@H](O1)C(C)C)C(=O)c1cc2ccccc2[nH]1,[5.4847]
CC(C)(C)[C@H]1CN(C[C@H](O1)c1ccccc1)C(=O)c1cccc(O)c1,[4.9301]
CN(Cc1cccc(OC(F)(F)F)c1)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[5.1473]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1ccccc1Cl,[5.0306]
CC1=C(CCN2C[C@@H](O)[C@H](Cc3ccccn3)C2)C(C)(C)CCC1,[5.1469]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1cccc(Cl)c1F,[5.0638]
Cc1cnccc1N1CCCN(Cc2cccc(F)c2C(F)(F)F)CC1,[5.0424]
CN(CC1CCN(Cc2ccccc2)CC1)c1nc(C)nc2ccccc12,[5.2217]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)Cc1ccc(cc1)-c1ccccc1,[5.562]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1cccc(C)c1C,[5.0483]
CC1=C(CN2C[C@@H](O)[C@H](Cc3ccccn3)C2)C(C)(C)CCC1,[5.1462]
Cc1cc(NCC2(C)COC2)c2ccc(cc2n1)C(F)(F)F,[5.3261]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)c1cccc(c1)C(F)(F)F,[5.1276]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1cccc(Cl)c1Cl,[5.0483]
CC(C)(C)[C@H]1CN(C[C@H](O1)c1ccccc1)C(=O)c1ccccc1C#N,[4.8738]
CCCC[C@@H]1CN(C[C@@H](O1)C1CC1)C(=O)c1cc(F)c(F)cc1F,[5.2324]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)CCc1ccccc1C,[5.0114]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1ccc(Cl)cc1C,[5.0307]
O[C@H]1CN(C[C@H]1Cc1ccnc2ccccc12)C(=O)C1(CCC1)c1ccc(Cl)cc1,[5.239]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1cccc(c1)C(F)(F)F,[5.1311]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)c1cccc(c1)-c1ccccc1F,[5.4132]
CC(C(=O)Nc1c(C)cnn1C1CCCC1)c1ccc(Cl)cc1,[4.8012]
Cc1cc(C)c(CC(=O)N[C@H]2COC[C@H]2Cc2ccnc3ccccc23)c(C)c1,[5.2586]
CSc1ccccc1C(=O)N(C)[C@@H]1C[C@@H]2C[C@@H](C[C@@H]2C1)N(C)C,[5.012]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)CC(C)(C)c1ccccc1,[5.0234]
CCOc1cc2CCCc2cc1CN(C)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[5.0683]
Cc1ccc(s1)-c1csc(NC(=O)c2cccn2C2CC2)n1,[5.7671]
CCCC[C@@H]1CN(C[C@@H](O1)C1CC1)c1nccs1,[4.8473]
CCCC[C@@H]1CN(C[C@@H](O1)C1CC1)C(=O)c1ccc2nc(C)sc2c1,[5.9415]
CCCOC1CCCN(C1)C1CCSCC1,[4.8497]
