,nr_tunnused,mse,oob
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",6,-0.223,0.587
"('VSA_EState2', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.236,0.587
"('TPSA', 'SlogP_VSA8', 'VSA_EState4')",3,-0.208,0.585
"('SlogP_VSA8', 'BertzCT', 'VSA_EState4')",3,-0.257,0.585
"('TPSA', 'SlogP_VSA8', 'SMR_VSA3')",3,-0.195,0.584
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT')",4,-0.207,0.584
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'AvgIpc')",4,-0.213,0.584
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",6,-0.216,0.583
"('SlogP_VSA8', 'BertzCT', 'SMR_VSA3')",3,-0.22,0.583
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'BertzCT', 'AvgIpc')",5,-0.23,0.583
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3')",5,-0.21,0.581
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4')",5,-0.213,0.581
"('HallKierAlpha', 'VSA_EState2', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",5,-0.222,0.581
"('SlogP_VSA8', 'BertzCT', 'AvgIpc')",3,-0.23,0.581
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'VSA_EState4')",4,-0.223,0.579
"('HallKierAlpha', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",5,-0.231,0.578
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'AvgIpc')",5,-0.223,0.577
"('TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",4,-0.203,0.576
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",5,-0.222,0.576
"('HallKierAlpha', 'SlogP_VSA8', 'AvgIpc')",3,-0.228,0.574
"('TPSA', 'SlogP_VSA8')",2,-0.202,0.573
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",5,-0.219,0.573
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4')",5,-0.221,0.573
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.222,0.573
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.217,0.572
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'BertzCT')",4,-0.221,0.572
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'BertzCT', 'VSA_EState4')",5,-0.235,0.572
"('VSA_EState2', 'TPSA', 'BertzCT', 'AvgIpc')",4,-0.212,0.571
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3')",4,-0.213,0.571
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'AvgIpc')",4,-0.222,0.571
"('HallKierAlpha', 'VSA_EState2', 'BertzCT', 'VSA_EState4', 'AvgIpc')",5,-0.226,0.571
"('VSA_EState2', 'TPSA', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",5,-0.232,0.57
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.233,0.57
"('VSA_EState2', 'TPSA', 'SlogP_VSA8')",3,-0.205,0.569
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3')",4,-0.21,0.569
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8')",4,-0.21,0.569
"('HallKierAlpha', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3')",4,-0.222,0.569
"('HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",4,-0.232,0.569
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'BertzCT')",4,-0.236,0.569
"('BertzCT', 'VSA_EState4', 'AvgIpc')",3,-0.249,0.569
"('VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",4,-0.217,0.568
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'AvgIpc')",4,-0.21,0.567
"('VSA_EState2', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",4,-0.241,0.567
"('SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",3,-0.269,0.565
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8')",3,-0.223,0.564
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4')",4,-0.232,0.564
"('HallKierAlpha', 'VSA_EState2', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",5,-0.233,0.564
"('TPSA', 'SlogP_VSA8', 'AvgIpc')",3,-0.211,0.563
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",4,-0.211,0.563
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3')",4,-0.215,0.562
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3')",4,-0.228,0.562
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.23,0.562
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",4,-0.235,0.561
"('HallKierAlpha', 'BertzCT', 'VSA_EState4', 'AvgIpc')",4,-0.236,0.561
"('HallKierAlpha', 'VSA_EState2', 'BertzCT', 'SMR_VSA3')",4,-0.238,0.561
"('SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",3,-0.25,0.558
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3')",5,-0.226,0.557
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",4,-0.235,0.557
"('HallKierAlpha', 'TPSA', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",5,-0.245,0.557
"('VSA_EState2', 'TPSA', 'BertzCT', 'SMR_VSA3')",4,-0.238,0.556
"('VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3')",3,-0.221,0.555
"('HallKierAlpha', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4')",4,-0.232,0.555
"('HallKierAlpha', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",4,-0.234,0.555
"('VSA_EState2', 'BertzCT', 'VSA_EState4', 'AvgIpc')",4,-0.244,0.555
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'AvgIpc')",5,-0.243,0.554
"('TPSA', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",4,-0.231,0.552
"('HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3')",3,-0.234,0.552
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4')",3,-0.24,0.551
"('VSA_EState2', 'TPSA', 'VSA_EState4')",3,-0.226,0.548
"('SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",3,-0.231,0.548
"('HallKierAlpha', 'TPSA', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",5,-0.235,0.547
"('HallKierAlpha', 'VSA_EState2', 'BertzCT', 'AvgIpc')",4,-0.231,0.546
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",4,-0.232,0.546
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'SMR_VSA3')",4,-0.232,0.545
"('HallKierAlpha', 'VSA_EState2', 'TPSA')",3,-0.237,0.545
"('HallKierAlpha', 'TPSA', 'BertzCT', 'AvgIpc')",4,-0.248,0.545
"('VSA_EState2', 'TPSA', 'BertzCT')",3,-0.227,0.544
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'AvgIpc')",4,-0.228,0.543
"('HallKierAlpha', 'VSA_EState2', 'SMR_VSA3', 'AvgIpc')",4,-0.228,0.542
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'AvgIpc')",4,-0.236,0.542
"('HallKierAlpha', 'SlogP_VSA8', 'BertzCT')",3,-0.227,0.541
"('VSA_EState2', 'SlogP_VSA8', 'AvgIpc')",3,-0.229,0.541
"('VSA_EState2', 'TPSA', 'SMR_VSA3', 'AvgIpc')",4,-0.238,0.54
"('TPSA', 'VSA_EState4', 'AvgIpc')",3,-0.236,0.538
"('VSA_EState4', 'SMR_VSA3', 'AvgIpc')",3,-0.257,0.538
"('HallKierAlpha', 'VSA_EState2', 'SMR_VSA3')",3,-0.232,0.537
"('HallKierAlpha', 'VSA_EState2', 'BertzCT', 'VSA_EState4')",4,-0.247,0.537
