,mse,oob
"('HallKierAlpha', 'VSA_EState2', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.2,0.618
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.21,0.618
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.22,0.618
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.22,0.618
"('HallKierAlpha', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.23,0.618
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",-0.2,0.617
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'VSA_EState1')",-0.21,0.617
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",-0.21,0.617
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SPS')",-0.19,0.616
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.2,0.616
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.2,0.615
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",-0.21,0.615
"('TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.18,0.614
"('AvgIpc', 'TPSA', 'SlogP_VSA8', 'SPS')",-0.19,0.614
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SPS')",-0.19,0.614
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8')",-0.21,0.614
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.2,0.613
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.21,0.613
"('VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.22,0.613
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'VSA_EState1')",-0.21,0.612
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SPS')",-0.21,0.612
"('VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.21,0.612
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.22,0.612
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.21,0.611
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.2,0.61
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",-0.2,0.61
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",-0.21,0.61
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SPS', 'VSA_EState1')",-0.22,0.61
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",-0.22,0.61
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.23,0.61
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",-0.23,0.61
"('HallKierAlpha', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.2,0.609
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",-0.21,0.609
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",-0.21,0.609
"('TPSA', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.2,0.608
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.23,0.608
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",-0.22,0.607
"('HallKierAlpha', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.19,0.606
"('HallKierAlpha', 'AvgIpc', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.21,0.606
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SPS')",-0.21,0.606
"('HallKierAlpha', 'AvgIpc', 'SlogP_VSA8', 'SPS')",-0.21,0.606
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8')",-0.21,0.606
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.21,0.605
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8')",-0.21,0.605
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'VSA_EState1')",-0.22,0.605
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'VSA_EState1')",-0.22,0.605
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",-0.2,0.604
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.21,0.604
"('AvgIpc', 'TPSA', 'SPS', 'VSA_EState1')",-0.21,0.604
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",-0.21,0.604
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.22,0.604
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'VSA_EState1')",-0.22,0.604
"('VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.23,0.604
"('AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",-0.23,0.604
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8')",-0.21,0.603
"('VSA_EState2', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.22,0.603
"('VSA_EState2', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.2,0.602
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.21,0.602
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.2,0.601
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",-0.22,0.601
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SPS', 'VSA_EState1')",-0.22,0.601
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.22,0.601
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",-0.22,0.601
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8')",-0.22,0.601
"('AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",-0.24,0.601
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",-0.21,0.6
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SPS', 'VSA_EState1')",-0.21,0.6
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",-0.22,0.6
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1')",-0.22,0.6
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.23,0.6
"('VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.24,0.6
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",-0.21,0.599
"('TPSA', 'SlogP_VSA8', 'SPS')",-0.19,0.598
"('TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",-0.2,0.598
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",-0.21,0.598
"('VSA_EState2', 'AvgIpc', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.21,0.598
